char,v_1,v_0,pw_0,pw_1,pw_3,pw_5,pw_10,pw_15,pw_25,pw_39,pw_50,sf_7,sf_8,sf_9,sf_10,sf_11,sf_12,sf_total
a,7,0,0,32,18,0,0,0,0,0,0,4,14,8,24,0,0,50
b,7,0,0,48,2,0,0,0,0,0,0,2,0,40,8,0,0,50
c,7,0,0,32,18,0,0,0,0,0,0,6,12,22,10,0,0,50
d,7,0,0,48,2,0,0,0,0,0,0,0,2,39,9,0,0,50
e,7,0,0,40,10,0,0,0,0,0,0,1,9,20,20,0,0,50
f,7,0,0,48,2,0,0,0,0,0,0,1,1,42,6,0,0,50
g,7,0,0,32,18,0,0,0,0,0,0,2,16,16,16,0,0,50
h,7,0,0,47,3,0,0,0,0,0,0,0,3,41,6,0,0,50
i,7,0,0,40,10,0,0,0,0,0,0,1,9,33,7,0,0,50
j,7,0,0,24,26,0,0,0,0,0,0,8,18,24,0,0,0,50
