char,Status,Runtime,MIPGap,ObjVal,ofT,ofH,ofTx
a,2,173.13805389404297,0.0,129039.08,128422.97,616,0.11
b,2,196.18951797485352,0.0,166191.59,165575.5,616,0.08
c,2,264.29350185394287,0.0,187989.82,187373.71,616,0.11
d,2,140.86587715148926,0.0,171768.48,171152.4,616,0.08
e,2,131.46285200119019,0.0,152194.9,151578.8,616,0.1
f,2,206.6570019721985,0.0,158436.39,157820.31,616,0.08
g,2,659.5934839248657,0.0,236969.77,236353.66,616,0.11
h,2,67.26554799079895,0.0,148266.05,147649.97,616,0.08
i,2,194.51016497612,0.0,148461.8,147845.71,616,0.1
j,2,328.598424911499,0.0,202026.18,201410.06,616,0.12
Average,,236.26,0.0,170134.41,169518.31,616.0,0.1
